
@relation 'Luv'
@attribute x real
@attribute y real
@attribute L real
@attribute U real
@attribute V real
@data
5,34,59.224351,-9.557150,-13.222289
5,35,59.222980,-8.945539,-11.054036
5,36,55.568294,-7.873130,-8.616829
5,37,59.218148,-5.692137,-7.608001
5,38,58.489850,-5.785039,-7.732172
5,39,64.411957,-2.374045,-7.470817
5,40,71.974430,-3.195997,-6.114864
5,41,76.971314,1.669591,-6.525317
5,42,78.803652,4.302111,-7.138520
5,43,80.849291,5.753309,-7.433316
5,44,82.348671,5.599864,-7.235063
5,45,83.803675,5.456573,-7.049931
5,46,85.074010,6.032985,-5.911127
5,47,85.923749,5.053161,-5.600476
5,48,86.883318,4.598579,-6.397052
5,49,85.598816,6.490203,-6.988765
5,50,84.267532,7.315486,-6.589220
5,51,83.552707,6.803538,-6.373001
5,52,84.093544,7.262497,-7.472292
5,53,80.140251,10.608220,-10.132020
5,54,80.704919,10.620999,-12.213145
5,55,81.171749,9.203581,-12.389721
5,56,76.991658,15.109011,-14.152894
5,57,74.710958,16.396500,-15.596183
5,58,75.308334,16.955383,-15.272088
5,59,76.156289,17.366079,-15.366484
5,60,77.107437,17.066753,-15.101623
5,61,77.442988,16.356436,-14.214143
5,62,79.309067,14.927774,-12.581505
5,63,78.401991,15.175021,-12.789890
5,64,79.947547,13.582369,-10.898356
5,65,81.491308,11.927562,-10.433083
5,66,80.794639,13.468527,-9.830089
5,67,79.483478,16.305100,-11.796588
5,68,74.043467,22.736273,-14.037184
5,69,65.708252,28.520545,-16.131663
5,70,61.749591,24.541330,-15.694947
5,71,64.766179,22.741552,-17.146091
5,72,68.268735,26.840239,-14.298483
5,73,75.546815,21.235723,-11.910322
5,74,77.886898,19.924398,-11.952745
5,75,78.184647,18.811185,-11.637507
5,76,79.752775,17.837549,-12.296677
5,77,81.548636,15.902162,-12.626060
5,78,84.610562,11.289015,-9.874544
5,79,86.881081,6.882280,-7.527892
5,80,87.456173,6.814554,-7.453812
5,81,88.974798,4.404257,-6.568874
5,82,89.697099,4.382479,-6.096438
5,83,89.787810,4.920054,-6.356745
5,84,89.969819,4.904962,-6.337245
5,85,90.151206,4.889989,-6.317900
5,86,90.781747,4.303129,-5.986055
5,87,91.190038,3.460113,-5.741388
5,88,91.771204,2.620256,-5.483866
5,89,91.946592,2.612613,-5.467870
5,90,92.295669,2.597498,-5.436236
5,91,92.121412,2.605027,-5.451994
5,92,91.506534,3.161931,-5.770646
5,93,91.329703,3.171282,-5.787712
5,94,91.329703,3.171282,-5.787712
5,95,91.367329,3.449871,-5.724393
5,96,91.190038,3.460113,-5.741388
5,97,90.046984,5.472355,-6.207186
5,98,89.498805,6.615189,-6.806286
5,99,89.315162,6.635776,-6.827467
6,0,47.640637,-12.235103,-11.862971
6,1,47.351565,-11.731318,-14.496434
6,2,48.841426,-11.323708,-13.992747
6,3,50.565124,-12.150101,-14.522066
6,4,51.633131,-11.308567,-15.645369
6,5,52.076281,-11.195143,-15.488447
6,6,52.513736,-11.084627,-15.335549
6,7,55.287548,-10.911379,-13.041517
6,8,55.347722,-13.125610,-13.488344
6,9,56.140526,-12.896322,-13.252719
6,10,55.231133,-11.513804,-13.918885
6,11,56.026491,-11.312288,-13.675275
6,12,57.187584,-11.026550,-13.329850
6,13,57.566542,-10.935407,-13.219668
6,14,57.648751,-12.447936,-12.109647
6,15,55.318811,-13.108403,-12.752165
6,16,56.776896,-11.096559,-12.729544
6,17,56.530475,-12.785525,-13.138861
6,18,56.530475,-12.785525,-13.138861
6,19,58.420102,-12.266534,-12.605527
6,20,57.648751,-12.447936,-12.109647
6,21,57.914718,-10.822343,-12.414974
6,22,57.187584,-11.026550,-13.329850
6,23,57.566542,-10.935407,-13.219668
6,24,58.127429,-11.208477,-10.346450
6,25,58.496175,-9.708624,-13.431853
6,26,56.610557,-10.116325,-13.995906
6,27,55.287548,-10.911379,-13.041517
6,28,56.024996,-10.671130,-11.353216
6,29,57.046332,-8.158475,-8.447512
6,30,55.249345,-4.469596,-7.188500
6,31,54.839678,-0.818624,-3.356680
6,32,55.758957,-2.466770,-2.867988
6,33,56.630327,-5.394127,-6.447178
6,34,58.254687,-7.409702,-8.109625
6,35,55.905307,-5.571546,-8.078266
6,36,53.628630,-0.900226,-4.275408
6,37,60.650928,0.257473,-3.418160
6,38,69.630335,-0.334490,-4.640603
6,39,74.815603,0.267336,-6.605468
6,40,76.852450,2.361684,-6.879232
6,41,79.479875,4.248821,-7.050096
6,42,82.093458,4.051612,-6.722866
6,43,83.965913,3.918401,-6.501829
6,44,83.701744,4.862165,-6.763725
6,45,82.513293,6.488493,-7.892064
6,46,78.520966,10.574875,-10.508394
6,47,75.626357,12.217480,-11.350190
6,48,77.110167,14.411188,-13.795105
6,49,75.045199,17.093772,-14.854906
6,50,71.592165,18.972040,-16.210481
6,51,71.876355,18.807862,-16.642254
6,52,72.586535,19.663321,-16.692664
6,53,73.231086,20.134247,-16.839429
6,54,75.480253,19.311751,-16.151529
6,55,76.395915,17.289979,-15.299146
6,56,77.641613,17.998131,-17.462719
6,57,79.275318,17.379162,-17.861144
6,58,80.386199,17.041924,-17.514553
6,59,81.196205,16.048159,-18.272717
6,60,81.961472,15.649744,-16.810167
6,61,81.717587,15.809263,-16.015568
6,62,80.039483,17.056224,-15.461466
6,63,79.673730,17.899135,-14.970076
6,64,79.627632,16.307912,-14.430158
6,65,78.464454,18.047463,-14.445868
6,66,78.464454,18.047463,-14.445868
6,67,79.163044,16.494257,-14.093363
6,68,75.460329,21.281306,-14.803180
6,69,70.391831,25.163248,-17.999976
